entity_id,unit
cooper_se_charging_status,state
cooper_se_charging_target,%
cooper_se_check_control_messages,state
cooper_se_condition_based_services,state
cooper_se_connection_status,state
cooper_se_door_lock_state,state
cooper_se_lids,state
cooper_se_pre_entry_climatization,state
cooper_se_windows,state
mz_shutter_ff_bath_illuminance,%
mz_shutter_ff_lara_l_illuminance,%
mz_shutter_ff_lara_m_illuminance,%
mz_shutter_ff_lara_r_illuminance,%
mz_shutter_ff_sleep_l_illuminance,%
mz_shutter_ff_sleep_l_tank_capacity_1,l
mz_shutter_ff_sleep_r_illuminance,%
mz_shutter_gf_kitchen_illuminance,%
mz_shutter_gf_toilet_illuminance,%
mz_shutter_sf_studio_l_illuminance,%
nspanel2_current_page,state
nspanel2_left_button,state
nspanel2_right_button,state
openweathermap_cloud_coverage,%
openweathermap_feels_like_temperature,°C
openweathermap_weather_code,state
pixel_6a_app_memory,GB
pixel_6a_battery_power,W
pixel_6a_detected_activity,state
pixel_6a_is_charging,state
sma_inverter_power_limit,W
sma_metering_active_power_draw_l1,W
sma_metering_active_power_draw_l2,W
sma_metering_active_power_feed_l1,W
sma_metering_active_power_feed_l2,W
sma_metering_active_power_feed_l3,W
sma_metering_current_l1,A
sma_metering_power_absorbed,W
sma_metering_power_supplied,W
sma_metering_total_absorbed,kWh
walli_external_lock_state,state
walli_max_current_hw_config,A
walli_min_current_hw_config,A
